begin,open,close,high,low,value,volume,end,return,volatility,volume_zscore
2026-06-25 08:50:00,2243.0,2243.0,2243.0,2243.0,0,89,2026-06-25 08:59:59,,,
2026-06-25 09:00:00,2242.8,2239.1,2247.8,2233.6,0,9596,2026-06-25 09:09:59,-0.0017387427552385537,,
2026-06-25 09:10:00,2239.35,2251.0,2252.1,2238.45,0,7044,2026-06-25 09:19:59,0.005314635344558116,,
2026-06-25 09:20:00,2250.8,2250.25,2254.5,2247.65,0,7406,2026-06-25 09:29:59,-0.0003331852509995681,,
2026-06-25 09:30:00,2250.25,2248.4,2251.4,2245.2,0,4842,2026-06-25 09:39:59,-0.0008221308743472378,,
2026-06-25 09:40:00,2248.4,2255.0,2255.0,2247.9,0,8286,2026-06-25 09:49:59,0.0029354207436398383,,
2026-06-25 09:50:00,2254.95,2249.6,2255.0,2248.4,0,6297,2026-06-25 09:59:59,-0.0023946784922395103,,
2026-06-25 10:00:00,2250.3,2260.75,2262.0,2245.5,0,16995,2026-06-25 10:09:59,0.004956436699857791,,
2026-06-25 10:10:00,2260.8,2267.65,2270.0,2260.55,0,20706,2026-06-25 10:19:59,0.0030520844852373052,,
2026-06-25 10:20:00,2267.6,2257.65,2268.3,2257.25,0,7970,2026-06-25 10:29:59,-0.004409851608493387,,
2026-06-25 10:30:00,2257.9,2250.45,2261.0,2248.25,0,14053,2026-06-25 10:39:59,-0.003189156866653553,,
2026-06-25 10:40:00,2250.9,2249.9,2255.75,2249.2,0,5007,2026-06-25 10:49:59,-0.00024439556533129014,,
2026-06-25 10:50:00,2249.8,2241.65,2250.15,2238.1,0,15592,2026-06-25 10:59:59,-0.003666829636872704,,
2026-06-25 11:00:00,2241.45,2249.4,2251.45,2241.2,0,11525,2026-06-25 11:09:59,0.0034572747752772415,,
2026-06-25 11:10:00,2250.0,2259.85,2261.0,2249.6,0,7797,2026-06-25 11:19:59,0.0046456832933226,,
2026-06-25 11:20:00,2260.3,2252.8,2262.9,2251.35,0,6217,2026-06-25 11:29:59,-0.003119676084695766,,
2026-06-25 11:30:00,2253.6,2252.55,2258.9,2250.7,0,4642,2026-06-25 11:39:59,-0.00011097301136364646,,
2026-06-25 11:40:00,2253.15,2251.65,2254.0,2246.85,0,5101,2026-06-25 11:49:59,-0.00039954717986290245,,
2026-06-25 11:50:00,2252.1,2248.75,2252.2,2244.15,0,3080,2026-06-25 11:59:59,-0.0012879443963316195,,
2026-06-25 12:00:00,2248.6,2255.0,2258.85,2248.6,0,5170,2026-06-25 12:09:59,0.0027793218454696955,,
2026-06-25 12:10:00,2254.85,2264.3,2265.0,2252.25,0,8548,2026-06-25 12:19:59,0.004124168514412441,,
2026-06-25 12:20:00,2264.65,2261.6,2267.0,2260.1,0,5659,2026-06-25 12:29:59,-0.0011924214989180726,,
2026-06-25 12:30:00,2261.8,2256.8,2262.0,2256.55,0,2957,2026-06-25 12:39:59,-0.002122391227449505,,
2026-06-25 12:40:00,2257.2,2257.95,2260.6,2254.7,0,2570,2026-06-25 12:49:59,0.0005095710740870008,,
2026-06-25 12:50:00,2257.35,2247.6,2257.8,2246.0,0,6064,2026-06-25 12:59:59,-0.0045838038929116864,,
2026-06-25 13:00:00,2248.0,2249.0,2250.7,2244.7,0,4629,2026-06-25 13:09:59,0.0006228866346325024,,
2026-06-25 13:10:00,2249.0,2221.35,2249.5,2221.2,0,16622,2026-06-25 13:19:59,-0.012294353045798179,,
2026-06-25 13:20:00,2221.2,2216.6,2230.45,2212.05,0,19007,2026-06-25 13:29:59,-0.0021383392981745297,,
2026-06-25 13:30:00,2216.65,2229.35,2231.35,2215.3,0,14495,2026-06-25 13:39:59,0.005752052693314136,,
2026-06-25 13:40:00,2228.85,2228.3,2234.2,2225.35,0,8496,2026-06-25 13:49:59,-0.0004709893018143285,,
2026-06-25 13:50:00,2228.75,2232.2,2243.15,2228.75,0,8926,2026-06-25 13:59:59,0.0017502131669882015,,
2026-06-25 14:00:00,2232.2,2232.55,2237.8,2230.0,0,3530,2026-06-25 14:09:59,0.00015679598602291733,,
2026-06-25 14:10:00,2232.55,2232.5,2236.85,2230.0,0,4552,2026-06-25 14:19:59,-2.23959149852071e-05,,
2026-06-25 14:20:00,2232.5,2228.2,2235.65,2220.1,0,6660,2026-06-25 14:29:59,-0.0019260918253080073,,
2026-06-25 14:30:00,2228.15,2218.35,2229.2,2215.65,0,9142,2026-06-25 14:39:59,-0.004420608562965556,,
2026-06-25 14:40:00,2218.55,2217.8,2225.75,2214.05,0,8626,2026-06-25 14:49:59,-0.00024793202154738125,,
2026-06-25 14:50:00,2217.75,2212.6,2225.0,2207.5,0,10910,2026-06-25 14:59:59,-0.0023446658851115076,,
2026-06-25 15:00:00,2212.35,2212.0,2221.65,2210.15,0,10596,2026-06-25 15:09:59,-0.0002711741842176263,,
2026-06-25 15:10:00,2212.05,2215.65,2217.5,2210.0,0,5979,2026-06-25 15:19:59,0.0016500904159133523,,
2026-06-25 15:20:00,2215.3,2212.5,2219.75,2211.8,0,6082,2026-06-25 15:29:59,-0.0014217046916255027,,
2026-06-25 15:30:00,2212.55,2217.1,2224.6,2208.95,0,14515,2026-06-25 15:39:59,0.002079096045197737,,
2026-06-25 15:40:00,2217.55,2220.15,2229.8,2216.0,0,8782,2026-06-25 15:49:59,0.0013756709214740592,,
2026-06-25 15:50:00,2220.1,2228.4,2236.8,2220.1,0,12655,2026-06-25 15:59:59,0.0037159651374907288,,
2026-06-25 16:00:00,2228.7,2233.15,2235.4,2224.0,0,7616,2026-06-25 16:09:59,0.0021315742236582835,,
2026-06-25 16:10:00,2232.95,2227.1,2233.5,2222.45,0,4257,2026-06-25 16:19:59,-0.0027091776190583117,,
2026-06-25 16:20:00,2227.1,2226.55,2231.15,2222.4,0,3754,2026-06-25 16:29:59,-0.00024695792734930055,,
2026-06-25 16:30:00,2226.45,2224.0,2227.05,2222.1,0,5704,2026-06-25 16:39:59,-0.0011452695874785146,,
2026-06-25 16:40:00,2224.1,2219.75,2224.4,2217.25,0,3607,2026-06-25 16:49:59,-0.0019109712230215292,,
2026-06-25 16:50:00,2219.65,2219.7,2222.0,2217.55,0,4713,2026-06-25 16:59:59,-2.2525059128364333e-05,,
2026-06-25 17:00:00,2219.55,2228.2,2229.05,2219.0,0,6569,2026-06-25 17:09:59,0.0038293463080596446,,-0.33295447900602726
2026-06-25 17:10:00,2228.0,2226.5,2231.75,2225.6,0,3622,2026-06-25 17:19:59,-0.000762947670765568,0.0031871423752330096,-1.0240057759972188
2026-06-25 17:20:00,2226.5,2228.1,2229.05,2224.0,0,1656,2026-06-25 17:29:59,0.0007186166629238322,0.0031809687523250635,-1.405110228848359
2026-06-25 17:30:00,2228.4,2217.9,2230.0,2217.25,0,6536,2026-06-25 17:39:59,-0.004577891477043128,0.0031451734209823295,-0.31917630654135754
